adgroup_id,pctr,ctr,smart_optimization_goal,second_goal,roi_goal,smart_pcvr,adjusted_smart_pcvr,vc_pcvr_bias,industry_factor_adjust_pcvr,exposure_cnt,click_cnt,trace_cnt,active_num,fraud_type,valid_exposure_cnt,valid_click_cnt
3408766526,398000002176,0,204,0,6,0,0,0,0,28,0,0,0,0,0,0
3421036135,2868308991232,0,204,0,6,0,0,0,0,141,0,0,0,0,141,0
3464021784,755803022336,181818,204,0,6,123303,123303,2,123303,11,2,0,0,0,0,2
3475107146,178512999936,0,204,0,6,0,0,0,0,13,0,0,0,0,13,0
3475107146,140456002560,\N,204,0,6,0,0,0,0,0,0,8,0,0,0,0
3475605830,3266405001216,0,204,0,6,0,0,0,0,155,0,0,0,0,155,0
3475605830,39400001536,\N,204,0,6,34185,0,0,0,0,1,0,0,1,0,0
3477205781,20397000704,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3332988500,3524000000,0,204,0,6,0,0,0,0,1,0,0,0,0,0,0
3332988500,1700148009472,25862,204,0,6,40972,40972,3,40972,116,3,0,0,0,0,3
3470645429,35290000128,0,204,0,6,0,0,0,0,4,0,0,0,0,0,0
3338731585,549099999232,\N,204,0,0,0,0,0,0,0,0,7,0,0,0,0
3473430565,50126999552,\N,204,0,0,0,0,0,0,0,0,2,0,0,0,0
3473430567,544642999296,0,204,0,0,0,0,0,0,44,0,0,0,0,1,0
3473430572,17738999808,\N,204,0,0,0,0,0,0,0,0,1,0,0,0,0
3464191243,2960999936,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3475874421,149335998464,0,204,0,6,0,0,0,0,8,0,0,0,0,8,0
3476199986,43356000256,\N,204,0,6,21720,0,0,0,0,2,0,0,1,0,0
3477724513,51727000064,0,204,0,6,0,0,0,0,5,0,0,0,0,5,0
3472241525,18562000384,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3475107146,1529536007360,6756,204,0,6,10262,10262,1,10262,148,1,0,0,0,0,1
3475605830,114943999488,\N,204,0,6,0,0,0,0,0,0,4,0,0,0,0
3305017826,31029999616,0,204,0,6,0,0,0,0,2,0,0,0,0,0,0
3343286613,3618136992704,23041,204,0,6,443267,443267,5,443267,217,5,0,0,0,0,5
3470645423,3848000000,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3470645438,8728999936,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3338731585,10713102002048,20338,204,0,0,488514,536759,13.701683044433594,508796.8125,590,12,0,0,0,0,12
3460865826,9208000000,0,204,0,0,0,0,0,0,2,0,0,0,0,2,0
3467524490,17920999424,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0
3470251673,84852999680,0,204,0,0,0,0,0,0,9,0,0,0,0,1,0
3470251682,16835000320,0,204,0,0,0,0,0,0,2,0,0,0,0,0,0
3473035446,94406999040,0,204,0,0,0,0,0,0,2,0,0,0,0,2,0
3473035447,265415001344,0,204,0,0,0,0,0,0,26,0,0,0,0,1,0
3473430572,41119999616,0,204,0,0,0,0,0,0,11,0,0,0,0,11,0
3477724513,91299998976,0,204,0,6,0,0,0,0,8,0,0,0,0,0,0
3477724513,8019000192,0,204,0,6,0,0,0,0,2,0,0,0,0,0,0
3476048421,16109000192,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3411856411,289244991488,\N,204,0,6,99071,99071,4,99071,0,4,0,0,0,0,4
3464021772,48508999680,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3464021784,265968001024,\N,204,0,6,194981,0,0,0,0,3,0,0,1,0,0
