process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,pcvr_bias,exposure_cnt,click_cnt,cost,gmv
20210605,40903398619789,TME,0,301,0,0.21518458354077655,4910406,79670,0.05542641077000004,0.7
20210605,90301475842282,TME,1,405,205,0.0,0,0,0.0,0.0
20210605,90301475842282,TME,0,302,205,0.0,119,0,0.0,0.0
20210605,30800591023329,TME,0,406,0,0.0,42,0,9.0E-8,0.0
20210605,90100470046973,IEG,1,104,10801,0.0,0,0,0.0,0.0
20210605,40706426556602,QQ系,0,301,205,0.7418182846032033,17070,211,4.4099999999999995E-5,0.0
20210605,90301475842282,TME,0,104,108,0.010526315789473684,108,1,6.399999999999999E-7,0.0
20210605,40903398619789,TME,1,105,0,0.0,0,0,0.0,438.36
20210605,80303373095787,QQ系,0,405,402,0.0,16,0,1.3E-7,0.0
20210605,90704445965875,IEG,0,301,108,0.0,2,0,2.0E-8,0.0
20210605,40504315369553,未分组1,0,315,0,0.0,3,0,1.0E-8,0.0
20210605,10406450945135,阅文系,1,315,0,0.0,0,0,0.0,27.59
20210605,70908422871965,阅文系,0,204,205,0.18486687994197254,324,44,8.745259999999996E-6,0.0
20210605,50206368215858,IEG,1,405,0,0.0,0,0,0.0,1319.5400000000002
20210605,70809455792733,CSIG,0,104,204,0.0,8,0,3.0E-8,0.0
20210605,10406450945135,阅文系,0,405,402,0.0,1,0,0.0,0.0
20210605,70601378118790,TME,0,105,0,0.23868974271670873,17606,626,2.2499226E-4,161.52
20210605,50308424081820,TME,0,104,105,0.16935305717352406,40843,1639,0.0011362633699999996,57.36
20210605,40604491829077,IEG,1,405,204,0.0,0,0,0.0,0.0
20210605,20900420119451,QQ系,0,108,0,0.0,6,0,0.0,0.0
20210605,70006563700470,TME,1,104,204,0.0,0,0,0.0,0.0
20210605,30800591023329,TME,0,10010,0,0.1,50,2,3.0E-8,0.0
20210605,40707432255536,IEG,0,315,204,0.0,80,0,0.0,0.0
20210605,60704472578903,TME,1,301,204,0.0,0,0,0.0,0.0
20210605,30302471412393,QQ系,0,405,205,0.0,353,0,1.6664800000000001E-6,0.0
20210605,10907511528330,TME,1,104,10801,0.0,0,0,0.0,0.0
20210605,80909368092923,IEG,0,107,0,0.0,17,0,0.0,0.0
20210605,10506450549984,IEG,0,402,0,0.013704930859453538,970,5,1.5535699999999998E-6,0.0
20210605,90603469797199,TME,0,204,205,0.011833912020997156,326,4,3.16894E-6,0.0
20210605,70800426750600,QQ系,1,405,402,0.0,0,0,0.0,0.0
20210605,70608348419857,IEG,1,105,0,0.0,0,0,0.0,1301.83
20210605,70100221174573,CSIG,1,107,0,0.0,0,0,0.0,0.0
20210605,90503492650537,IEG,1,405,205,0.0,0,0,0.0,0.0
20210605,90503492650537,IEG,0,104,108,0.02702702702702703,393,1,7.319999999999999E-6,0.0
20210605,70800426750600,QQ系,0,205,0,637.7736178735208,1718493,230878,0.05602575792999999,0.0
20210605,60003454983821,TME,0,412,0,0.0,3,0,8.999999999999997E-8,0.0
20210605,50807530695352,TME,1,405,402,0.0,0,0,0.0,0.0
20210605,10707405966597,QQ系,1,315,0,0.0,0,0,0.0,0.0
20210605,40604491829077,IEG,0,405,204,0.022727272727272728,93,1,5.489009999999998E-6,0.0
20210605,70506421868294,TKD,0,107,0,1.7086819971011789,3622144,45182,0.04316165757,105.30000000000001
20210605,30607480914543,阅文系,1,104,204,0.0,0,0,0.0,470.07
20210605,30605462917931,IEG,0,405,205,0.0,13,0,2.0999999999999995E-7,0.0
