process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,gmv,second_gmv
20210605,50007452537563,其他,1,104,0,0,0,2,0,0,0,0,0.0,32.03,0.0
20210605,30605462917931,IEG,0,104,0,1735,24,2,0,20068908017664,5193421,10890,68.2,10.52,0.0
20210605,70803405454129,CSIG,0,104,0,378,17,0,0,14290781041152,137208,0,1.8900000000000003,0.0,0.0
20210605,30506472073904,TME,1,104,0,0,0,444,0,0,0,0,0.0,4925.48,0.0
20210605,90100326256701,IEG,0,104,0,23829,1255,0,0,1359722549320704,10834362,0,332.83000000000004,0.0,0.0
20210605,40301325569554,TME,1,104,0,0,0,366,0,0,0,0,0.0,17480.27,0.0
20210605,50604428212896,TKD,0,104,0,47239356,659058,1867,0,636311040991949120,6928870429,137807,134899.18209,31225.020000000004,0.0
20210605,10707405966597,QQ系,1,104,0,0,0,18,0,0,0,0,0.0,501.24,0.0
20210605,70702022115052,其他,0,104,0,37,4,0,0,4901683993472,2059,0,0.04,0.0,0.0
20210605,50106403385474,IEG,0,104,0,117,2,0,0,2514198983040,326774,0,5.489999999999999,0.0,0.0
20210605,50106403385474,IEG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,20900420119451,QQ系,1,104,0,0,0,3,0,0,0,0,0.0,194.19,0.0
20210605,60005012352827,QQ系,0,104,0,9286095,330841,4126,0,338061977355111360,10425294063,1953378,228405.69118999984,88639.94999999997,0.0
20210605,70601378118790,TME,0,104,0,534597,14548,1,0,16342442562935232,101916903,0,6357.523720000007,23.11,0.0
20210605,70204561021014,IEG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,80303373095787,QQ系,1,104,0,0,0,250,0,0,0,0,0.0,2459.6,0.0
20210605,40903398619789,TME,0,104,0,2585493,64970,9,0,66087296998145024,1403543137,0,19060.908760000006,242.85,0.0
20210605,70506421868294,TKD,1,104,0,0,0,51995,0,0,0,0,0.0,945266.77,0.0
