process_date,site_id,position_id,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,first_gmv,second_gmv,gmv
20210605,30800591023329,6071350163759142,104,10601,2,0,0,0,52093000704,0,0,0,0,0,0
20210605,60005012352827,4031385499008864,104,108,4,0,0,0,106682998784,0,0,0.01,0,0,0
20210605,10309012621387,5061939153516836,104,106,12,1,0,0,480578003968,2051,586,0.11,0,0,0
20210605,50604428212896,9040639426945639,104,10601,9,0,0,0,25414999616,0,0,0,0,0,0
20210605,50206368215858,3051523401015832,104,108,1,0,0,0,12792999936,0,0,0,0,0,0
20210605,30607480914543,7000058680351710,104,106,25149,5424,117,28,5506209376230016,123071861,40716329,2261.11728,0,2573.07,2573.07
20210605,80909368092923,4080951093266892,104,106,66998,517,24,11,539974071829568,32153981,11179179,1195.7566,0,1239.74,1239.74
20210605,70702022115052,4031717134462991,104,105,953339,18767,244,121,19288837565056000,223848631,108845382,6619.58733,0,6733.04,6733.04
20210605,50206368215858,5031505718636833,104,0,602,33,2,0,21823019044992,2938652,0,128.45508,32,0,32
20210605,70702022115052,2021936811877990,104,105,40271,93,2,1,111842550974208,3139390,2011949,118.60408,0,34,34
20210605,50604428212896,6021611312337603,104,105,390,34,0,0,31245666996224,68871,34088,2.74774,0,0,0
20210605,10309012621387,5040727944638663,104,108,1077,2,0,0,6102127997568,5025,2403,0.65,0,0,0
20210605,10005398496922,7060647828344189,104,204,2807,12,2,1,20630140967104,1189840,521021,45.55075,0,41.66,41.66
20210605,80304215099367,4090877068258820,104,105,179,4,0,0,5396836002304,22235,11188,0.6,0,0,0
20210605,60005012352827,8070830999147489,104,204,691,31,0,0,27655129987584,824634,289622,12.05761,0,0,0
20210605,60005012352827,1010864943911171,104,10801,617,2,0,0,3143568998784,21935,424,0.43,0,0,0
