process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,vc_pcvr_bias,exposure_cnt,click_cnt,trace_cnt,active_num,real_cost_micros,gmv
20210605,40106476583359,阅文系,0,302,0,4.897653818130493,208,5,0,0,0.33999999999999997,0.0
20210605,90503492650537,IEG,0,107,0,21.000000953674316,1437,11,0,0,18.29999999999999,0.0
20210605,30400461864295,TME,0,405,204,0.0,10,0,0,0,0.26999999999999996,0.0
20210605,80909368092923,IEG,1,104,0,0.0,0,0,9680,84,0.0,4806.26
20210605,90503492650537,IEG,1,205,0,0.0,0,0,7,0,0.0,0.0
20210605,60005012352827,QQ系,0,107,0,3383.018570303917,97501,2190,0,0,1384.5448499999995,0.0
20210605,10406450945135,阅文系,0,104,10801,339.13670858740807,45334,305,96,4,2937.5575700000004,0.0
20210605,60402262989318,CSIG,0,402,10009,0.0,94,0,0,0,6.89,0.0
20210605,50605442246954,IEG,0,121,0,0.0,1,0,0,0,0.0,0.0
20210605,50308424081820,TME,0,405,204,1590.8387614488602,46750,1578,0,0,1938.8686599999992,0.0
20210605,70601378118790,TME,1,105,0,0.0,0,0,1643,522,0.0,172.06
20210605,20105445936502,未分组1,1,104,0,0.0,0,0,70836,669,0.0,16325.44
20210605,40504315369553,TME,0,104,10010,3.0,70,3,0,0,0.06,0.0
20210605,30602476557982,CSIG,0,104,315,3.0,36,3,0,0,2.749999999999999,0.0
20210605,70609460544983,IEG,0,121,0,0.0,4,0,0,0,0.04,0.0
20210605,30607480914543,阅文系,1,105,10801,0.0,0,0,164552,28,0.0,65506.0
20210605,70800426750600,QQ系,1,204,0,0.0,0,0,235476,2935,0.0,423570.03
20210605,30607480914543,阅文系,1,204,205,0.0,0,0,1414,0,0.0,0.0
20210605,60807476850604,TKD,1,104,10801,0.0,0,0,29640,123,0.0,15125.320000000002
20210605,90603469797199,TME,0,204,108,0.9978644847869873,117,1,0,0,3.4668200000000002,0.0
20210605,70905490183934,IEG,0,104,10801,12.502228379249573,1188,13,1,0,94.60000000000002,0.0
20210605,90805444657273,CSIG,1,405,0,0.0,0,0,1,1,0.0,219.98
20210605,80904328951508,TME,1,104,10801,0.0,0,0,22182,6,0.0,0.0
20210605,30302471412393,QQ系,0,302,119,0.0,3,0,0,0,0.0,0.0
